 NL    NX    NY  LOWBAD HIGHBAD  THRESH     AP1  PH/ADU  RNOISE    FRAD
  1  1114  1119   -41.5 30000.0   19.54   14.00    4.50    2.44   10.00
 

      5  214.948  468.728  12.4932   0.0217   -0.146      10.    6.864    0.439
      6  252.882  712.503  12.6372   0.0037   -0.416       6.    1.132   -0.016
      7  180.967  684.317  12.6481   0.0051   -0.407       6.    1.447    0.112
      8  427.055  630.357  12.6632   0.0073   -0.402      10.    1.952   -0.160
      1  660.237   57.172  11.4890   0.0161    0.461      10.    5.413    0.485
      2  810.903  212.477  11.6875   0.0101   -0.286      10.    3.641    0.214
      3  210.918   76.445  11.7433   0.0299    0.166      10.   11.010    0.733
      4  117.063  185.654  12.2610   0.0381   -0.345      10.    9.667    1.030
      9  660.643  947.669  12.8012   0.0081   -0.195       8.    1.983    0.102
     10  285.091  453.647  12.8218   0.0138   -0.265      10.    4.078    0.286
     11  867.145  726.027  12.8732   0.0107   -0.129      10.    2.674   -0.107
     12  107.567  688.317  12.9934   0.0098    0.136      10.    2.250    0.256
     13  453.601  556.310  13.0083   0.0071    0.091       9.    1.725   -0.194
     14  248.548  609.945  13.0908   0.0043   -0.192       8.    1.123   -0.061
